created_at,full_text,Sentiment,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,kata_tidak_baku_hash,tokenize,stopword_removal,stemming
Fri Apr 26 10:00:39 +0000 2019,Sistem itu juga mengurangi risiko kelelahan para petugas. #dpr #evoting #kpu #pemilu https://t.co/mSZQuxv9o4 https://t.co/3LYvhiEHc9,Positif,Sistem itu juga mengurangi risiko kelelahan para petugas,sistem itu juga mengurangi risiko kelelahan para petugas,sistem itu juga mengurangi risiko kelelahan para petugas,[],[],[],"['sistem', 'itu', 'juga', 'mengurangi', 'risiko', 'kelelahan', 'para', 'petugas']",sistem mengurangi risiko kelelahan petugas,sistem kurang risiko lelah tugas
Sat Apr 20 04:21:10 +0000 2019,Era digitalisasi kok masih ribet dengan manual. #pemilu #EVoting #Pemiludamai,Positif,Era digitalisasi kok masih ribet dengan manual,era digitalisasi kok masih ribet dengan manual,era digitalisasi kok masih ribet dengan manual,[],[],[],"['era', 'digitalisasi', 'kok', 'masih', 'ribet', 'dengan', 'manual']",era digitalisasi ribet manual,era digitalisasi ribet manual
Thu Apr 18 00:39:57 +0000 2019,Pemilu masa depan bisa dilakukan dengan electronic-based voting dg keunggulan: 1/ Bisa dilakukan dimana saja dg gadget 2/ Hemat biaya logistik 3/ Mengurangi kertas dan limbah 4/ Produktivitas voters tidak terganggu 5/ Real counting bisa cepat #pilpres2019 #kpu #evoting,Positif,Pemilu masa depan bisa dilakukan dengan electronic based voting dg keunggulan Bisa dilakukan dimana saja dg gadget Hemat biaya logistik Mengurangi kertas dan limbah Produktivitas voters tidak terganggu Real counting bisa cepat,pemilu masa depan bisa dilakukan dengan electronic based voting dg keunggulan bisa dilakukan dimana saja dg gadget hemat biaya logistik mengurangi kertas dan limbah produktivitas voters tidak terganggu real counting bisa cepat,pemilu masa depan bisa dilakukan dengan electronic based voting dengan keunggulan bisa dilakukan dimana saja dengan gadget hemat biaya logistik mengurangi kertas dan limbah produktivitas voters tidak terganggu real counting bisa cepat,"['dengan', 'dengan']","['dg', 'dg']","[-6669262679047929524, -6669262679047929524]","['pemilu', 'masa', 'depan', 'bisa', 'dilakukan', 'dengan', 'electronic', 'based', 'voting', 'dengan', 'keunggulan', 'bisa', 'dilakukan', 'dimana', 'saja', 'dengan', 'gadget', 'hemat', 'biaya', 'logistik', 'mengurangi', 'kertas', 'dan', 'limbah', 'produktivitas', 'voters', 'tidak', 'terganggu', 'real', 'counting', 'bisa', 'cepat']",pemilu electronic based voting keunggulan dimana gadget hemat biaya logistik mengurangi kertas limbah produktivitas voters terganggu real counting cepat,pemilu electronic based voting unggul mana gadget hemat biaya logistik kurang kertas limbah produktivitas voters ganggu real counting cepat
Thu Sep 05 00:31:52 +0000 2024,E-voting mampu tingkatkan peratusan keluar mengundi E-voting juga dijangka menjimatkan kos pengurusan dan pengendalian pilihan raya. #sinarharian #EVoting #PilihanRaya https://t.co/jC3OHrqRMN,Positif,E voting mampu tingkatkan peratusan keluar mengundi E voting juga dijangka menjimatkan kos pengurusan dan pengendalian pilihan raya,e voting mampu tingkatkan peratusan keluar mengundi e voting juga dijangka menjimatkan kos pengurusan dan pengendalian pilihan raya,e voting mampu tingkatkan peratusan keluar mengundi e voting juga dijangka menjimatkan kos pengurusan dan pengendalian pilihan raya,[],[],[],"['e', 'voting', 'mampu', 'tingkatkan', 'peratusan', 'keluar', 'mengundi', 'e', 'voting', 'juga', 'dijangka', 'menjimatkan', 'kos', 'pengurusan', 'dan', 'pengendalian', 'pilihan', 'raya']",e voting tingkatkan peratusan mengundi e voting dijangka menjimatkan kos pengurusan pengendalian pilihan raya,e voting tingkat atus undi e voting jangka jimat kos urus kendali pilih raya
Fri Feb 16 07:15:13 +0000 2024,...sudah saatnya negara kita melaksanakan e-Voting pada Pemilu mendatang... #evoting,Positif,sudah saatnya negara kita melaksanakan e Voting pada Pemilu mendatang,sudah saatnya negara kita melaksanakan e voting pada pemilu mendatang,sudah saatnya negara kita melaksanakan e voting pada pemilu mendatang,[],[],[],"['sudah', 'saatnya', 'negara', 'kita', 'melaksanakan', 'e', 'voting', 'pada', 'pemilu', 'mendatang']",negara melaksanakan e voting pemilu,negara laksana e voting pemilu
Mon Apr 11 21:38:11 +0000 2022, jokowi Utk mengurangi biaya pemilu bgaman kalo pakai sistem elektronik voting E.ktp digital .,Positif,jokowi Utk mengurangi biaya pemilu bgaman kalo pakai sistem elektronik voting E ktp digital,jokowi utk mengurangi biaya pemilu bgaman kalo pakai sistem elektronik voting e ktp digital,jokowi untuk mengurangi biaya pemilu bgaman kalau pakai sistem elektronik voting e ktp digital,"['untuk', 'kalau']","['utk', 'kalo']","[-8111974127941293929, 3889910046600889236]","['jokowi', 'untuk', 'mengurangi', 'biaya', 'pemilu', 'bgaman', 'kalau', 'pakai', 'sistem', 'elektronik', 'voting', 'e', 'ktp', 'digital']",mengurangi biaya pemilu bgaman pakai sistem elektronik voting e ktp digital,kurang biaya pemilu bgaman pakai sistem elektronik voting e ktp digital
Mon Apr 11 03:40:45 +0000 2022,Data digital mudah dimanipulasi maka disinilah muncul blockchain selama terdesentralisasi data akan sulit dimanipulasi. tapi jadinya mahal Voting secara digital harus menghapus sifat rahasia. siapapun bisa melihat siapa memilih siapa. sehingga data dapat dipertanggungjawabkan,Negatif,Data digital mudah dimanipulasi maka disinilah muncul blockchain selama terdesentralisasi data akan sulit dimanipulasi tapi jadinya mahal Voting secara digital harus menghapus sifat rahasia siapapun bisa melihat siapa memilih siapa sehingga data dapat dipertanggungjawabkan,data digital mudah dimanipulasi maka disinilah muncul blockchain selama terdesentralisasi data akan sulit dimanipulasi tapi jadinya mahal voting secara digital harus menghapus sifat rahasia siapapun bisa melihat siapa memilih siapa sehingga data dapat dipertanggungjawabkan,data digital mudah dimanipulasi maka disinilah muncul blockchain selama terdesentralisasi data akan sulit dimanipulasi tapi jadinya mahal voting secara digital harus menghapus sifat rahasia siapapun bisa melihat siapa memilih siapa sehingga data dapat dipertanggungjawabkan,[],[],[],"['data', 'digital', 'mudah', 'dimanipulasi', 'maka', 'disinilah', 'muncul', 'blockchain', 'selama', 'terdesentralisasi', 'data', 'akan', 'sulit', 'dimanipulasi', 'tapi', 'jadinya', 'mahal', 'voting', 'secara', 'digital', 'harus', 'menghapus', 'sifat', 'rahasia', 'siapapun', 'bisa', 'melihat', 'siapa', 'memilih', 'siapa', 'sehingga', 'data', 'dapat', 'dipertanggungjawabkan']",data digital mudah dimanipulasi muncul blockchain terdesentralisasi data sulit dimanipulasi mahal voting digital menghapus sifat rahasia memilih data dipertanggungjawabkan,data digital mudah manipulasi muncul blockchain desentralisasi data sulit manipulasi mahal voting digital hapus sifat rahasia pilih data dipertanggungjawabkan
Tue Mar 29 03:26:36 +0000 2022,Opsi 1. Penggunaan Smartphone kecurangan yg pst terjadi adlh penggunaan data milik orang awam politik/digital minim pengalaman tua renta ODGJ. Karena disini konteksnya adalah voting artinya tidak semua masyarakat di libatkan justru dapat timbulkan bencana sosial yg lebih besar.,Negatif,Opsi Penggunaan Smartphone kecurangan yg pst terjadi adlh penggunaan data milik orang awam politik digital minim pengalaman tua renta ODGJ Karena disini konteksnya adalah voting artinya tidak semua masyarakat di libatkan justru dapat timbulkan bencana sosial yg lebih besar,opsi penggunaan smartphone kecurangan yg pst terjadi adlh penggunaan data milik orang awam politik digital minim pengalaman tua renta odgj karena disini konteksnya adalah voting artinya tidak semua masyarakat di libatkan justru dapat timbulkan bencana sosial yg lebih besar,opsi penggunaan smartphone kecurangan yang pasti terjadi adalah penggunaan data milik orang awam politik digital minim pengalaman tua renta odgj karena disini konteksnya adalah voting artinya tidak semua masyarakat di libatkan justru dapat timbulkan bencana sosial yang lebih besar,"['yang', 'pasti', 'adalah', 'yang']","['yg', 'pst', 'adlh', 'yg']","[-4203579751553908046, 1756677947447811726, -5452433401084619693, -4203579751553908046]","['opsi', 'penggunaan', 'smartphone', 'kecurangan', 'yang', 'pasti', 'terjadi', 'adalah', 'penggunaan', 'data', 'milik', 'orang', 'awam', 'politik', 'digital', 'minim', 'pengalaman', 'tua', 'renta', 'odgj', 'karena', 'disini', 'konteksnya', 'adalah', 'voting', 'artinya', 'tidak', 'semua', 'masyarakat', 'di', 'libatkan', 'justru', 'dapat', 'timbulkan', 'bencana', 'sosial', 'yang', 'lebih', 'besar']",opsi penggunaan smartphone kecurangan penggunaan data milik orang awam politik digital minim pengalaman tua renta odgj konteksnya voting masyarakat libatkan timbulkan bencana sosial,opsi guna smartphone curang guna data milik orang awam politik digital minim alam tua renta odgj konteks voting masyarakat libat timbul bencana sosial
Sat May 17 10:47:11 +0000 2025,@ApriliaLin Next mungkin bisa dipertimbangkan on-chain governance voting. Jadi bukan sekedar digital aja tapi pengelolaaan/perawatan data yg immutable secure dan scalable tanpa biaya yg mahal. Selamat melakukan terobosan di sektor demokrasi dengan teknologi yg disruptive PSI. 🇮🇩,Negatif,Next mungkin bisa dipertimbangkan on chain governance voting Jadi bukan sekedar digital aja tapi pengelolaaan perawatan data yg immutable secure dan scalable tanpa biaya yg mahal Selamat melakukan terobosan di sektor demokrasi dengan teknologi yg disruptive PSI,next mungkin bisa dipertimbangkan on chain governance voting jadi bukan sekedar digital aja tapi pengelolaaan perawatan data yg immutable secure dan scalable tanpa biaya yg mahal selamat melakukan terobosan di sektor demokrasi dengan teknologi yg disruptive psi,next mungkin bisa dipertimbangkan on chain governance voting jadi bukan sekedar digital saja tapi pengelolaaan perawatan data yang immutable secure dan scalable tanpa biaya yang mahal selamat melakukan terobosan di sektor demokrasi dengan teknologi yang disruptive psi,"['saja', 'yang', 'yang', 'yang']","['aja', 'yg', 'yg', 'yg']","[4947893755461839197, -4203579751553908046, -4203579751553908046, -4203579751553908046]","['next', 'mungkin', 'bisa', 'dipertimbangkan', 'on', 'chain', 'governance', 'voting', 'jadi', 'bukan', 'sekedar', 'digital', 'saja', 'tapi', 'pengelolaaan', 'perawatan', 'data', 'yang', 'immutable', 'secure', 'dan', 'scalable', 'tanpa', 'biaya', 'yang', 'mahal', 'selamat', 'melakukan', 'terobosan', 'di', 'sektor', 'demokrasi', 'dengan', 'teknologi', 'yang', 'disruptive', 'psi']",next dipertimbangkan on chain governance voting sekedar digital pengelolaaan perawatan data immutable secure scalable biaya mahal selamat terobosan sektor demokrasi teknologi disruptive psi,next timbang on chain governance voting dar digital pengelolaaan awat data immutable secure scalable biaya mahal selamat terobos sektor demokrasi teknologi disruptive psi
Sat May 17 05:55:42 +0000 2025,@ApriliaLin Partai ayam 3 ngaku 2 mau pake digital voting? Halah integritas dibetulin dulu. Mending fokus cari cuan yg banyak dr cukong 9 lintah,Negatif,Partai ayam ngaku mau pake digital voting Halah integritas dibetulin dulu Mending fokus cari cuan yg banyak dr cukong lintah,partai ayam ngaku mau pake digital voting halah integritas dibetulin dulu mending fokus cari cuan yg banyak dr cukong lintah,partai ayam mengaku mau pakai digital voting halah integritas dibetulin dulu mending fokus cari cuan yang banyak dari cukong lintah,"['mengaku', 'pakai', 'yang', 'dari']","['ngaku', 'pake', 'yg', 'dr']","[226649193777569187, -1102286091675966727, -4203579751553908046, 5428969455288668235]","['partai', 'ayam', 'mengaku', 'mau', 'pakai', 'digital', 'voting', 'halah', 'integritas', 'dibetulin', 'dulu', 'mending', 'fokus', 'cari', 'cuan', 'yang', 'banyak', 'dari', 'cukong', 'lintah']",partai ayam mengaku pakai digital voting halah integritas dibetulin mending fokus cari cuan cukong lintah,partai ayam aku pakai digital voting halah integritas dibetulin mending fokus cari cuan cukong lintah
